time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
22.0,454.6305018901903,0.907285328174244,6.2547779874067695,23.7068654527716,485.4994306585429,Free KC,Case 1,8.023862153245773,8.023862153245773
22.200000000000003,454.3716815990938,0.906779025913248,6.251811791397514,23.969158242027294,485.49943065843183,Free KC,Case 1,8.112638174224625,8.112638174224625
22.4,454.11301287021286,0.9062724397013786,6.248814046295131,24.23133130214278,485.49943065835214,Free KC,Case 1,8.201373671494482,8.201373671494482
22.6,453.8544953785881,0.9057656021727984,6.2457866786897736,24.49338299887467,485.49943065832537,Free KC,Case 1,8.29006809192681,8.29006809192681
22.8,453.5961288096161,0.90525854486317,6.242731529961941,24.755311773907657,485.4994306583488,Free KC,Case 1,8.378720908091823,8.378720908091823
23.0,453.3379128596758,0.9047512979593432,6.239650352755752,25.0171161480149,485.4994306584058,Free KC,Case 1,8.467331619328121,8.467331619328121
23.200000000000003,453.07984724147616,0.9042438892786052,6.2365447707228565,25.27879475699807,485.4994306584757,Free KC,Case 1,8.555899763907039,8.555899763907039
23.4,452.8219316804328,0.9037363448798011,6.233416306476554,25.540346326739886,485.4994306585291,Free KC,Case 1,8.644424910588885,8.644424910588885
23.6,452.5641659094874,0.903228689776313,6.230266423072658,25.801769636195512,485.4994306585319,Free KC,Case 1,8.732906646096943,8.732906646096943
23.8,452.30654967321874,0.9027209473975878,6.227096490971757,26.06306354686665,485.49943065845474,Free KC,Case 1,8.821344585093328,8.821344585093328
24.0,452.04908272820586,0.9022131397369044,6.22390778444347,26.324227005976955,485.4994306583632,Free KC,Case 1,8.90973837125374,8.90973837125374
0.0,863.8229488539494,0.0,0.0,0.0,863.8229488539494,KLZ-NPs,Case 2,0.0,0.0
0.2,861.9621146916538,1.6963511335554744,0.164483028600494,1.198575057961949e-12,863.822948853811,KLZ-NPs,Case 2,4.056715580794289e-13,4.056715580794289e-13
0.4,861.1684556078537,2.010846914369049,0.6436449135941293,1.4178438519251196e-06,863.8229488536607,KLZ-NPs,Case 2,4.798856114208097e-07,4.798856114208097e-07
0.6000000000000001,860.5042381378049,2.143087185791118,1.1754712422321745,0.0001522877116626,863.82294885354,KLZ-NPs,Case 2,5.154353317811078e-05,5.154353317811078e-05
0.8,859.8933896470976,2.224191153788868,1.7036435811140462,0.0017244713861703,863.8229488533867,KLZ-NPs,Case 2,0.0005836672383961016,0.0005836672383961016
1.0,859.3153542133465,2.2839937044945,2.215762064371956,0.0078388710499275,863.8229488532628,KLZ-NPs,Case 2,0.0026531563553600776,0.0026531563553600776
1.2000000000000002,858.7617084874456,2.3320593887583234,2.706806629695558,0.0223743471696601,863.8229488530692,KLZ-NPs,Case 2,0.007572855965115727,0.007572855965115727
1.4,858.2278305193317,2.3724981846929727,3.1739340384288446,0.0486861104475991,863.8229488529012,KLZ-NPs,Case 2,0.016478375843802774,0.016478375843802774
1.6,857.710713596135,2.407482419181968,3.615645785455792,0.0891070520492979,863.8229488528219,KLZ-NPs,Case 2,0.030159309924377757,0.030159309924377757
1.8,857.2082015408823,2.438320836826442,4.031446258869134,0.1449802160537414,863.8229488526316,KLZ-NPs,Case 2,0.04907022697203555,0.04907022697203555
2.0,856.7186504755998,2.465869064449799,4.421555104075446,0.2168742081592976,863.8229488522843,KLZ-NPs,Case 2,0.07340357814622381,0.07340357814622381
2.2,856.2407518674456,2.490717611369837,4.786668655682454,0.3048107177603394,863.8229488522583,KLZ-NPs,Case 2,0.10316670447273027,0.10316670447273027
2.4000000000000004,855.7734290561984,2.5132906009272293,5.127779768482538,0.4084494266689108,863.8229488522771,KLZ-NPs,Case 2,0.1382444213340929,0.1382444213340929
2.6,855.3157723061812,2.533902900256011,5.446050018050596,0.5272236272454913,863.8229488517334,KLZ-NPs,Case 2,0.17844491999078171,0.17844491999078171
2.8000000000000003,854.866996127936,2.552795415496473,5.742722578237487,0.6604347308369696,863.8229488525069,KLZ-NPs,Case 2,0.22353175505251283,0.22353175505251283
3.0,854.4264103130032,2.5701578239797334,6.019064616139575,0.8073160992440992,863.8229488523665,KLZ-NPs,Case 2,0.2732454489749259,0.2732454489749259
3.2,853.9934000407261,2.586143574452277,6.276329637046677,0.96707560008124,863.8229488523064,KLZ-NPs,Case 2,0.32731789541211204,0.32731789541211204
3.4000000000000004,853.567411449799,2.600880006233076,6.515735036119843,1.138922359940076,863.822948852092,KLZ-NPs,Case 2,0.38548141413356424,0.38548141413356424
3.6,853.1479415067369,2.61447523687998,6.738447687740938,1.3220844205892937,863.8229488519471,KLZ-NPs,Case 2,0.44747472696868407,0.44747472696868407
3.8,852.7345304367286,2.6270228645873583,6.94557659602709,1.5158189544698306,863.822948851813,KLZ-NPs,Case 2,0.5130464153590196,0.5130464153590196
4.0,852.3267559333436,2.6386052990818847,7.138169380223493,1.7194182389354054,863.8229488515844,KLZ-NPs,Case 2,0.5819569424089065,0.5819569424089065
4.2,851.924228760244,2.6492960497765368,7.317211550099063,1.932212491242985,863.8229488513626,KLZ-NPs,Case 2,0.6539796124207027,0.6539796124207027
4.4,851.5265892513717,2.659161364188249,7.483627405464722,2.1535708301635097,863.8229488511881,KLZ-NPs,Case 2,0.7289008963630341,0.7289008963630341
4.6000000000000005,851.1335043524675,2.668261474471859,7.638281922563925,2.382901101545753,863.822948851049,KLZ-NPs,Case 2,0.8065203728308703,0.8065203728308703
4.800000000000001,850.7446652562087,2.6766514565503337,7.781983379084759,2.61964875908213,863.8229488509259,KLZ-NPs,Case 2,0.886650349227798,0.886650349227798
5.0,850.3597853593799,2.684381896155592,7.915486242350345,2.8632953528249385,863.8229488507108,KLZ-NPs,Case 2,0.9691153501869023,0.9691153501869023
5.2,849.9785984324791,2.691499437957713,8.039494147625796,3.1133568325913075,863.8229488506539,KLZ-NPs,Case 2,1.0537515433385964,1.0537515433385964
5.4,849.6008570307147,2.6980472035159835,8.154662957618767,3.36938165875962,863.822948850609,KLZ-NPs,Case 2,1.1404060998878713,1.1404060998878713
5.6000000000000005,849.2263310978046,2.7040651192549903,8.261603775866407,3.6309488576094218,863.8229488505355,KLZ-NPs,Case 2,1.2289365364216507,1.2289365364216507
5.800000000000001,848.8548066860071,2.709590202910605,8.360885822897465,3.897666138494525,863.8229488503097,KLZ-NPs,Case 2,1.3192100776443008,1.3192100776443008
6.0,848.4860847778289,2.714656816140648,8.453039176225333,4.169168079865596,863.8229488500605,KLZ-NPs,Case 2,1.411103042416048,1.411103042416048
6.2,848.1199802184957,2.719296878207732,8.538557374023002,4.445114379140763,863.8229488498672,KLZ-NPs,Case 2,1.5045002514014891,1.5045002514014891
6.4,847.7563207198348,2.723540058702366,8.61789990028616,4.725188170954696,863.822948849778,KLZ-NPs,Case 2,1.5992944578615895,1.5992944578615895
6.6000000000000005,847.3949459346409,2.727413950385294,8.691494544509982,5.009094420156161,863.8229488496924,KLZ-NPs,Case 2,1.6953858037451621,1.6953858037451621
6.800000000000001,847.0357066626459,2.7309442072897383,8.759739509723808,5.296558469816037,863.8229488494756,KLZ-NPs,Case 2,1.792681328245428,1.792681328245428
7.0,846.6784640586416,2.7341546913518555,8.82300544293012,5.587324656336524,863.82294884926,KLZ-NPs,Case 2,1.8910944990677467,1.8910944990677467
7.2,846.3230889044789,2.7370676029080867,8.881637334456503,5.88115500729445,863.8229488491379,KLZ-NPs,Case 2,1.9905447716996603,1.9905447716996603
7.4,845.9694609412106,2.739703598267376,8.935956278751453,6.177828030858023,863.8229488490874,KLZ-NPs,Case 2,2.0909571796750233,2.0909571796750233
7.6,845.6174682499063,2.74208189789856,8.986261114152239,6.477137587104765,863.8229488490618,KLZ-NPs,Case 2,2.192261952558536,2.192261952558536
7.800000000000001,845.2670066370943,2.744220393777303,9.032830050216235,6.778891767880991,863.8229488489687,KLZ-NPs,Case 2,2.2943941368212584,2.2943941368212584
8.0,844.9179791610525,2.746135729728058,9.075921942407264,7.0829120156379215,863.8229488488257,KLZ-NPs,Case 2,2.3972932976005277,2.3972932976005277
8.200000000000001,844.5702955359635,2.74784340638608,9.11577786216531,7.389032044105487,863.8229488486204,KLZ-NPs,Case 2,2.500903153389549,2.500903153389549
8.4,844.2238717567059,2.749357843346994,9.15262211854436,7.697097129807766,863.822948848405,KLZ-NPs,Case 2,2.6051713362426288,2.6051713362426288
8.6,843.8786296668289,2.750692454839658,9.18666340024739,8.006963326306764,863.8229488482227,KLZ-NPs,Case 2,2.710049125826905,2.710049125826905
8.8,843.5344964785239,2.751859732612909,9.21809605467996,8.318496582300767,863.8229488481176,KLZ-NPs,Case 2,2.8154911509325675,2.8154911509325675
9.0,843.1914044713711,2.75287129870695,9.24710088408203,8.631572193880373,863.8229488480405,KLZ-NPs,Case 2,2.921455204082588,2.921455204082588
